"pdbid","ligand","dataset","SMILES","Cluster"
"3C44","PAR","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3DVV","RIO","2013","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"3DVV","RIO","2016","OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O","Row6"
"3S4P","JS6","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3TD1","GET","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"3TD1","GET","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"3WRU","SJP","2016","[C@H]1([C@@H](CC[C@@H](CN)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)NC(=O)[C@H]([C@@H](CN)F)O)O)O[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H](CC[C@H](CN)O1)N)O","Row6"
"4F8U","SIS","2016","[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N","Row6"
"4F8V","SIS","2016","[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N","Row6"
"4K32","GET","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"4P20","AKN","2013","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]1O)O[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@H](O1)CO)N","Row6"
"4P20","AKN","2016","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CN)O1)O)O)O)O[C@@H]1[C@H](C[C@@H](NC(=O)[C@H](CCN)O)[C@@H]([C@H]1O)O[C@@H]1[C@H](O)[C@@H](N)[C@H](O)[C@H](O1)CO)N","Row6"
"4P95","MES","2016","O1CC[NH+](CC1)CCS(=O)(=O)[O-]","Row6"
"4PDQ","NMZ","2016","[C@@H]1([C@@H](CN)O[C@@H]([C@@H]([C@H]1O)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)NC(=O)[C@H](CCN)O)O)O[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](CN)O1)O)O)N)O)F","Row6"
