n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C=O	3SUH_FFO_X_103	3SUH
Nc1nc2c(c(=O)n1)N[C@H](CN2)C	ligand	3SUX
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C	3TD1_GET_B_50	3TD1
CN(CCCn1c2c(nc1N)ccc1OC[C@H](Cc21)CN(C)C)C	3TZR_SS0_A_75	3TZR
[C@H]1([C@@H](CC[C@@H](CN)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)NC(=O)[C@H]([C@@H](CN)F)O)O)O[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@@H](CC[C@H](CN)O1)N)O	3WRU_SJP_A_101	3WRU
NCC(=O)O	4ERL_GLY_A_202	4ERL
[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N	4F8U_SIS_A_101	4F8U
[C@H]1([C@@H](CC=C(CN)O1)N)O[C@@H]1[C@H](C[C@H]([C@@H]([C@H]1O)O[C@@H]1[C@@H]([C@H]([C@@](CO1)(C)O)NC)O)N)N	4F8V_SIS_A_101	4F8V
[nH]1cnc2c(c1=O)[nH]cn2	4FE5_HPA_B_101	4FE5
[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N	4JF2_PRF_A_101	4JF2
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C	4K32_GET_A_101	4K32
N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1c2ncnc(c2nc1)N	ligand.pdb	4KQY
n1c(N)[nH]c(=O)c2N([C@H](CNc12)CNc1ccc(cc1)C(=O)N)C=O	4LVV_FFO_A_101	4LVV
N1=CCc2c(=O)[nH]c(N)nc12	4LVW_7DG_A_101	4LVW
